iso3c;Country;pos_veg_uninformed;pos_veg_informers;pos_veg_supporters;pos_veg_critics;pb_meat_text;pb_milk_text;pb_dairy_text;pb_meat_graphics;pb_milk_graphics;pb_dairy_graphics;single_meat;single_dairy;eco_pb_pos;eco_ab_neg;sourcepb_protein;sourcepb_iron;sourcepb_calcium;sourcepb_zinc;sourcepb_n3;sourcepb_b12;bfci;year_fbdg;page_length;page_length_sqrt;share_veg;epi;prod_pct_gdp_meat;prod_pct_gdp_dairy;prod_pct_gdp_cereal;prod_pct_gdp_vegfruit;gdpk_per_cap;bfci_nsfg_meat;bfci_nsfg_dairy;bfci_pbs_protein;bfci_pbs_iron;bfci_pbs_calcium;bfci_pbs_zinc;bfci_pbs_n3;bfci_b12;bfci_pba_meat;bfci_pba_milk;bfci_pba_dairy;bfci_rec_veg;bfci_veg_healthy;bfci_veg_eco
KOR;Republic of Korea;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;21;2016;12;3.46;28;66.5;0.7418;0.1122;0.5744;0.8472;29.2886;19;0;0;0;0;0;0;0;0;0;0;0;0;0
RUS;Russia;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;24;2009;12;3.46;7;50.5;1.6372;0.7581;-99;0.6821;8.8456;19;0;3;3;0;0;0;0;0;0;0;0;0;0
KNA;Saint Kitts and Nevis;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;12;2010;28;5.29;12;-99;-99;-99;-99;0.1358;18.8106;0;0;3;3;3;3;0;0;0;0;0;0;0;0
LCA;Saint Lucia;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2007;1;1;12;43.1;0.6535;0.079;-99;1.625;10.3616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VCT;Saint Vincent and the Grenadines;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2006;2;1.41;12;48.4;1.2374;0.2226;0.1413;6.413;7.0745;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAU;Saudi Arabia;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;41;2016;35;5.92;22;44;0.5033;0.3869;0.0924;0.6562;19.8789;19;0;3;3;3;3;3;5;0;5;0;0;0;0
SYC;Seychelles;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2006;1;1;22;58.2;-99;-99;-99;0.3239;15.0686;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SLE;Sierra Leone;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;6;2016;80;8.94;22;25.7;-99;-99;17.5597;15.185;0.5014;0;0;3;3;0;0;0;0;0;0;0;0;0;0
SVK;Slovakia;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;3;2015;4;2;3.5;68.3;0.1708;0.2967;0.7779;0.1247;16.5086;0;0;3;0;0;0;0;0;0;0;0;0;0;0
SVN;Slovenia;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;55;2015;55;7.42;2;72;0.6247;0.4016;0.2129;0.4364;21.6635;0;0;3;3;3;3;3;5;5;5;5;13;9;5
ZAF;South Africa;0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;53;2013;165;12.85;22;43.1;2.1037;0.3556;0.775;1.4361;5.2726;0;0;3;3;3;3;3;5;5;5;5;13;9;0
ESP;Spain;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;45;2010;36;6;1.5;74.3;0.7214;0.2644;0.3577;1.4435;26.5059;19;19;3;0;3;0;0;0;0;5;0;0;0;0
LKA;Sri Lanka;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;60;2011;99;9.95;28;39;0.5948;0.217;1.5073;0.9564;3.8863;19;0;3;3;3;3;3;0;5;5;0;13;9;0
SWE;Sweden;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;74;2015;105;10.25;7;78.7;0.2172;0.2001;0.1507;0.0518;51.9647;19;19;3;3;3;3;3;0;5;5;0;13;0;5
CHE;Switzerland;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;85;2018.5;53;7.28;5.1;81.5;0.3739;0.3441;0.0436;0.2262;83.0732;19;19;3;3;3;0;3;5;5;0;0;13;9;5
THA;Thailand;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;48;1998;23;4.8;28;45.4;1.4267;0.1481;1.9846;2.0831;5.9934;19;19;3;0;3;0;0;0;5;5;0;0;0;0
TUR;Turkey;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;63;2016;288;16.97;7;42.6;1.759;0.8865;1.0361;2.3165;10.8946;19;19;3;3;3;3;3;0;0;0;0;13;0;0
ARE;United Arab Emirates;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;45;2019;37;6.08;22;55.6;-99;-99;-99;-99;38.1424;19;19;3;0;0;0;0;0;5;5;0;0;0;0
GBR;United Kingdom;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;80;2018;108;10.39;12.5;81.3;0.3874;0.1617;-99;0.1492;41.0476;19;19;3;3;3;3;3;5;5;5;5;13;0;0
URY;Uruguay;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;15;2016;103;10.15;12;49.1;3.0848;0.9858;1.1611;0.9675;16.7157;0;0;3;3;0;3;3;0;5;0;0;0;0;0
USA;USA;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;75;2020;164;12.81;4;69.3;0.5389;0.1851;-99;0.2464;58.0212;19;19;3;0;3;0;0;0;5;5;0;13;9;0
VEN;Venezuela;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;6;1991;44;6.63;12;50.3;-99;-99;-99;-99;-99;0;0;3;3;0;0;0;0;0;0;0;0;0;0
YEM;Yemen;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;2012;8;2.83;22;-99;8.1134;1.8945;1.0272;4.9972;1.1386;19;0;0;0;0;0;0;0;0;0;0;0;0;0
